ACCR, Agua Caliente Casino, Rancho Mirage
ACEP, Running Aces, Columbus
AMBH, Ameristar Black Hawk, Black Hawk
AMEC, Ameristar East Chicago, East Chicago
AMSC, Ameristar St. Charles, St.Charles
AMVI, Ameristar Vicksburg, Vicksburg
ARIA, Aria Resort & Casino, Las Vegas 
ATLS, Atlantis Casino, Reno
BELA, Bellagio, Las Vegas
BETH, Wind Creek Bethlehem, Bethlehem
BHMO, Monarch Black Hawk, Black Hawk
BIKE, Parkwest Bicycle Casino, Bell Gardens
BLV, Horseshoe Las Vegas, Las Vegas
BOOM, Boomtown Casino New Orleans, Harvey
BORG, Borgata Hotel Casino & Spa, Atlantic City
BRV, Beau Rivage, Biloxi
BSST, Boulder Station, Las Vegas
BTBX, Boomtown Casino Biloxi, Biloxi
CAMC, Cameo Club Casino, Stockton
CATS, Resorts World Catskills, Monticello
CCR, Hard Rock Tulsa, Catoosa
CCRS, Cherokee Casino West Siloam, West Siloam Springs
CDS, Casino Del Sol Resort, Tucson
CHCR, Choctaw Casino Durant, Durant 
CHPO, Choctaw Pocola, Pocola
CLDR, Calder Casino, Miami Gardens
CLIF, Club 52 Poker Room, Camp Verde
CLV, Caesars Palace, Las Vegas
CMIA, Casino Miami, Miami
CNC, River Spirit Casino, Tulsa
CNT, Canterbury Park Card Casino, Shakopee
COMC, Commerce Casino, Commerce
COU, Horseshoe Council Bluffs, Council Bluffs
CSG, Seminole Coconut Creek, Coconut Creek
CTRS, Hollywood Charles Town,  Charles Town 
CUCR, Chumash Casino Resort, Santa Ynez
CUKB, Rendezvous Brighton, Brighton
CUKE, Empire Casino, London
CUKG, Alea Glasgow, Glasgow
CUKM, Manchester235, Manchester
CUKN, Alea Nottingham, Nottingham
CUSH, Coushatta Casino, Kinder
DBKC, Daytona Beach Poker Room, Daytona Beach 
DDN, Desert Diamond Casino Tucson, Tucson
DDWV, Desert Diamond Casino West Valley, Glendale
DECL, The Casino @ Dania Beach, Dania Beach
DELL, Del Lago, Waterloo
DELP, Delaware Park Casino, Wilmington
EDCR, Bally's Shreveport, Shreveport
ELCB, Elements Casino Brantford, Brantford
ELK, Elk Valley Casino, Crescent City
FALL, Fallsview Casino Resort, Niagara Falls
FIRE, FireKeepers Casino Hotel, Battle Creek
FWSB, Four Winds South Bend, South Bend
FXW, Foxwoods Resort Casino, Mashantucket
GGAM, Genesis Demo, Spring
GNLC, Golden Nugget Lake Charles,  Lake Charles
GNLK, Gun Lake Casino, Wayland
GNLV, Golden Nugget Las Vegas, Las Vegas
GOGA, Bally's Black Hawk, Black Hawk
GRTN, Graton Resort & Casino, Rohnert Park
GSRC, Grand Sierra Resort, Reno
GTWN, Hollywood Casino at Greektown, Detroit
